 date: 03/03/2024 00:00:00, beginning time: 02:31:15.6776443, controller name: /index.html, action: GET, user name: unconnected, duration: 81ms.
 date: 03/03/2024 00:00:00, beginning time: 02:31:15.7020000, controller name: /css/site.css, action: GET, user name: unconnected, duration: 7ms.
 date: 03/03/2024 00:00:00, beginning time: 02:31:15.7115544, controller name: /js/site.js, action: GET, user name: unconnected, duration: 16ms.
 date: 03/03/2024 00:00:00, beginning time: 02:31:15.7476902, controller name: /favicon.ico, action: GET, user name: unconnected, duration: 0ms.
 date: 03/03/2024 00:00:00, beginning time: 02:31:15.8259478, controller name: /Chore, action: GET, user name: unconnected, duration: 85ms.
 date: 03/03/2024 00:00:00, beginning time: 02:31:22.7878188, controller name: /Chore/3, action: PUT, user name: unconnected, duration: 48ms.
 date: 03/03/2024 00:00:00, beginning time: 02:31:22.7934014, controller name: /Chore, action: GET, user name: unconnected, duration: 1ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:26.8702853, controller name: /index.html, action: GET, user name: unconnected, duration: 97ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:26.9356820, controller name: /css/site.css, action: GET, user name: unconnected, duration: 8ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:26.9467354, controller name: /js/site.js, action: GET, user name: unconnected, duration: 19ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:27.0208693, controller name: /favicon.ico, action: GET, user name: unconnected, duration: 3ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:27.0811489, controller name: /Chore, action: GET, user name: unconnected, duration: 63ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:34.6968796, controller name: /swagger, action: GET, user name: unconnected, duration: 7ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:34.9156551, controller name: /swagger/index.html, action: GET, user name: unconnected, duration: 116ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:35.2742624, controller name: /swagger/swagger-ui.css, action: GET, user name: unconnected, duration: 102ms.
 date: 07/03/2024 00:00:00, beginning time: 13:40:35.3506458, controller name: /swagger/swagger-ui-standalone-preset.js, action: GET, user name: unconnected, duration: 173ms.
